_gold_cui_rank,_gold_cui_score,_gold_name,_text,accuracy,max_accuracy,max_mrr,mrr,~pred_cuis_1.0,~pred_cuis_10.0,~pred_cuis_2.0,~pred_cuis_3.0,~pred_cuis_4.0,~pred_cuis_5.0,~pred_cuis_6.0,~pred_cuis_7.0,~pred_cuis_8.0,~pred_cuis_9.0,~~comm,~~mention_uuid,cos_dist,sentence,cos_rank
1.0,0.9755042195320128,Fibrillation - atrial,Atrial fibrillation,1.0,1.0,1.0,1.0,C0004238=Fibrillation - atrial (0.98),C0003811=Cardiac arrhythmia (-0.41),C0340489=Lone atrial fibrillation (0.49),C0085611=Atrial arrhythmia (0.25),C0577699=Controlled atrial fibrillation (0.13),C0042510=Ventricular fibrillation (0.10),C1281999=Rapid atrial fibrillation (0.02),C0004239=Flutter - atrial (-0.26),C0344794=Malaligned atrial septum (-0.33),C2586056=Permanent atrial fibrillation (-0.40),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/22225-075494-ECG_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819d41,0.5507695492183787,75494 || || || | 22225 || || || | 3797 || || || | ECG_ _R REPORT || || || | 2012- -0 09- -0 01 06: :5 57: :0 00.0 || || || | || || || | || || || | || || || | Atrial fibrillation Lateral ST changes are nonspecific Repolarization changes may be partly due to rhythm Since previous tracing of [* ** *2 2012- -0 09- -0 01* ** *] ]: : paced rhythm is not seen,33892.0
796.0,-0.919702410697937,Lung carcinoma,LUNG CANCER,0.0,0.0,0.001256281407035176,0.001256281407035176,C0038454=Accident - cerebrovascular (0.33),C0302148=Blood clot (-0.61),C0006826=Neoplasms - malignant (-0.20),"C0043252=Gunshot wound, NOS (-0.37)","C0023890=Cirrhosis of liver, NOS (-0.53)",C0265108=Impending cerebrovascular accident (-0.55),C0600139=Carcinoma of prostate (-0.57),C0152113=Rheumatic chorea (-0.59),C0033270=Retained products of conception (-0.61),C0343243=Muscle abscess (-0.61),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/14493-110891-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81938b,0.4650901754074589,LUNG CANCER __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ _ UNDERLYING MEDICAL CONDITION: :,69967.0
12.0,-0.5580728054046631,Lung carcinoma,lung cancer,0.0,0.0,0.08333333333333333,0.08333333333333333,C0006826=Neoplasms - malignant (0.30),C0343243=Muscle abscess (-0.55),C0600139=Carcinoma of prostate (-0.20),"C0043252=Gunshot wound, NOS (-0.27)","C0023890=Cirrhosis of liver, NOS (-0.30)","C0332803=Surgical wound, NOS (-0.34)",C0302148=Blood clot (-0.35),C1266026=Parietal cell carcinoma (-0.47),C0013295=Duodenal ulcer (-0.48),C1578735=Cheek carcinoma (-0.53),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/14493-110891-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81938d,0.5069231593105477,"History of lung cancer, , assess for interval change. .",57144.0
1.0,0.94147390127182,Pleural effusion (disorder),pleural effusion,1.0,1.0,1.0,1.0,C0032227=Pleural effusion (disorder) (0.94),C0265135=Acute pericardial effusion (-0.29),"C0031039=Pericardial effusion, NOS (0.83)",C0747635=Bilateral pleural effusion (0.83),C0340003=Other pleural effusion (0.43),C0747639=Loculated pleural effusion (0.37),C0264547=Pleural effusion associated with hepatic disorder (0.17),"C0225778=Pleural fluid, NOS (0.07)",C1265808=Loculated effusion (0.02),C1542803=(Pleural effusion NOS) or (hemothorax) or (hydrothorax) (-0.25),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/14493-110891-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81938e,0.5510107191804865,Interval resolution of left- -s sided pleural effusion; ;,55962.0
1.0,0.8728052377700806,Loculated effusion,loculated effusion,1.0,1.0,1.0,1.0,C1265808=Loculated effusion (0.87),C0349077=Pericardial effusion - noninflammatory (-0.50),"C0031039=Pericardial effusion, NOS (0.76)",C0747639=Loculated pleural effusion (0.68),C0747635=Bilateral pleural effusion (0.66),C0032227=Pleural effusion (disorder) (0.34),C0265135=Acute pericardial effusion (0.04),C0340003=Other pleural effusion (-0.42),C0013687=Effusion (-0.44),C0225783=Right pleural fluid (-0.48),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/14493-110891-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81938f,0.5425577789331477,"however, , there remains a small pocket of loculated effusion seen on the lateral wall. .",65320.0
1.0,0.9913981556892396,Pulmonary edema,pulmonary edema,1.0,1.0,1.0,1.0,C0034063=Pulmonary edema (0.99),C0333240=Acute edema (0.73),C0340103=Chemical-induced pulmonary edema (0.86),C0013608=Cardiac edema (0.86),C0151701=Pulmonary haemorrhage (0.85),C0347837=O/E - pulmonary edema (0.83),C0264501=Postoperative pulmonary edema (0.81),C1283370=Alimentary edema (0.77),C0006114=Cerebral edema (0.75),C0155919=Acute pulmonary edema (0.74),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/14493-110891-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819390,0.5416618389005519,Interval improvement in right- -s sided pulmonary edema. .,57178.0
1.0,0.908760666847229,"Infiltration, NOS",infiltrates,1.0,1.0,1.0,1.0,"C0332448=Infiltration, NOS (0.91)","C0225778=Pleural fluid, NOS (-0.50)","C0021311=Infection, NOS (-0.00)","C0008350=Cholelithiasis, NOS (-0.08)","C0004144=Atelectasis, NOS (-0.17)","C0032326=Pneumothorax, NOS (-0.41)",C0013687=Effusion (-0.42),"C0021308=Infarction, NOS (-0.44)","C0003962=Ascites, NOS (-0.44)","C0032285=Pneumonia, NOS (-0.45)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/14493-110891-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819391,0.09680862695422598,No new infiltrates identified. .,25846.0
1.0,0.9913981556892396,Pulmonary edema,pulmonary edema,1.0,1.0,1.0,1.0,C0034063=Pulmonary edema (0.99),C0333240=Acute edema (0.73),C0340103=Chemical-induced pulmonary edema (0.86),C0013608=Cardiac edema (0.86),C0151701=Pulmonary haemorrhage (0.85),C0347837=O/E - pulmonary edema (0.83),C0264501=Postoperative pulmonary edema (0.81),C1283370=Alimentary edema (0.77),C0006114=Cerebral edema (0.75),C0155919=Acute pulmonary edema (0.74),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/14493-110891-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819392,0.5845593810196074,1) ) Interval improvement in predominantly right- -s sided pulmonary edema. .,10163.0
1.0,0.9335444569587708,Pleural effusion (disorder),pleural effusion,1.0,1.0,1.0,1.0,C0032227=Pleural effusion (disorder) (0.93),C1535567=(Cardiac tamponade) or (pericardial disease NOS) (-0.05),"C0031039=Pericardial effusion, NOS (0.93)",C0747635=Bilateral pleural effusion (0.88),C0747639=Loculated pleural effusion (0.53),C0340003=Other pleural effusion (0.52),"C0225778=Pleural fluid, NOS (0.29)",C1265808=Loculated effusion (0.26),C0265135=Acute pericardial effusion (0.01),C0264547=Pleural effusion associated with hepatic disorder (0.01),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/14493-110891-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819393,0.5935256928008008,2) ) Interval resolution of left- -s sided pleural effusion. .,3595.0
17.0,-0.4600785076618194,Lung carcinoma,lung cancer,0.0,0.0,0.05882352941176471,0.05882352941176471,C0006826=Neoplasms - malignant (0.21),C0343243=Muscle abscess (-0.37),C0302148=Blood clot (0.20),C0600139=Carcinoma of prostate (-0.14),"C0023890=Cirrhosis of liver, NOS (-0.24)",C1266026=Parietal cell carcinoma (-0.27),C0347633=Laceration of liver (-0.30),C0013295=Duodenal ulcer (-0.31),C0347630=Liver hematoma (-0.34),C1578735=Cheek carcinoma (-0.36),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/14493-110891-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819396,0.4338315066928777,"Again identified is a large left hilar mass, , somewhat impinging on the left main bronchus, , corresponding to the patient' 's known lung cancer. .",113926.0
